ID,AthleteScore,AthleteDistance,Style_Score,Physical_Score,knee_peak_velocity,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression,avg_v_style_front,avg_v_style_back,takeoff_knee_angle,avg_body_ski_angle,avg_symmetry_index_back,takeoff_timing_offset,takeoff_peak_velocity,telemark_scissor_mean,telemark_stability,landing_absorption_rate
JP0024,160.9,138.0,18.0,142.9,480.16757065231263,12.744902834296784,10.234226682650345,1.4859503693941478,0.0090849117921839,20.123069750157327,43.14046333281343,,130.19048149204775,10.6661898608287,,1.0,480.16757065231263,,,
JP0025,218.0,231.5,18.833333333333332,199.16666666666666,151.73264013988472,11.16149586088625,8.56288908187391,1.9974791905447589,0.0044160770844062,0.0,49.57203562830342,,160.50284701459657,11.729329320673042,,0.0,151.73264013988472,0.1871574019210282,26.96046725104386,0.0030235265075497
JP0026,155.0,141.0,16.833333333333332,138.16666666666666,439.7871673355482,9.46784702545292,9.509944601013594,1.1696378561285752,0.0067500755637216,65.12539915244261,30.223600010044663,,128.48445893204166,13.085150248494555,,0.0,439.7871673355482,0.6204558231552949,6.9525650657642455,-0.0027456541378315
JP0027,108.5,93.0,17.666666666666668,90.83333333333333,,,,,,,,,,,,,,,,
JP0028,133.1,132.0,19.0,114.1,600.559903340707,14.569804308556003,11.0122101053024,1.4544350561974726,0.0022450086211013,9.600960304421946,,,126.6999554955483,7.774642384407957,,0.0,600.559903340707,0.2327274713777254,13.935737578426233,-0.0007876671124363
JP0029,146.2,141.0,18.333333333333332,127.86666666666666,109.29598637231948,7.208610311808567,11.81368746425119,2.315193170872466,0.0032124548813189,0.0,,,,1.1102010823789576,,3.0,67.32744784191311,0.2594834280428106,148.50607096442425,-0.0010864659189158
JP0030,223.9,246.0,16.0,207.9,438.4823404119709,5.673997729228507,4.656466689678272,1.119634643226717,0.0013713501648635,125.11936293820074,37.99390172540635,,150.88086869256568,9.369023320805203,,0.0,438.4823404119709,0.1728150723289329,31.735966874068573,0.0002406168123073
JP0031,131.1,134.0,18.5,112.6,568.447306715482,12.619969755388247,12.836421626917833,1.6572665177044892,0.0036194496919308,57.67708969051013,,28.14999893770989,132.34432592838382,7.329281876572184,10.824463347399051,1.0,568.447306715482,0.2781610231532683,11.365684147450796,-0.0005009216516095
JP0032,121.2,92.0,17.833333333333332,103.36666666666667,348.4612728950333,12.361686526390317,13.132039650903875,2.011034524517896,0.0074135275944761,35.63224079392343,,,162.02143126470833,11.7923225421045,,-3.0,350.8998489537863,0.4126875162622766,9.020935735081226,-0.0016482529922617
JP0033,189.5,234.0,18.666666666666668,170.83333333333334,290.2429847478869,7.414897731233506,7.323827529325822,2.459373331200402,0.0077082894524427,12.105147374646194,42.39942994778901,,141.90302005535716,13.986806927976431,,2.0,290.2429847478869,0.226771073871746,20.421892591998173,0.0007939404011511
